brokered_by,status,price,bedroom,bathroom,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
84,for_sale,220000,3,1,0.23,1451499,Killingly,Connecticut,06234,960.0,NULL
84,for_sale,259900,2,2,0.56,975321,Athol,Massachusetts,01331,1296.0,2003-06-23
84,for_sale,319000,9,3,0.09,174690,Southbridge,Massachusetts,01550,3276.0,NULL
84,for_sale,319900,9,3,0.09,160245,Southbridge,Massachusetts,01550,3276.0,NULL
84,for_sale,349000,4,2,3.94,1470575,Thompson,Connecticut,06255,1851.0,NULL
84,for_sale,379000,3,2,0.55,1437582,Southbridge,Massachusetts,01550,2048.0,NULL
84,for_sale,379900,3,1,0.81,1820834,Brimfield,Massachusetts,01010,1312.0,NULL
84,for_sale,379999,3,2,0.67,151228,Auburn,Massachusetts,01501,1700.0,2003-08-18
84,for_sale,415000,5,3,0.28,77185,Winchendon,Massachusetts,01475,2906.0,2005-04-29
84,for_sale,499900,4,3,2.4,561513,Ashford,Connecticut,06278,2000.0,NULL
84,for_sale,599900,7,3,0.45,107911,Worcester,Massachusetts,01610,3547.0,NULL
84,for_sale,629900,3,3,0.23,1670669,Worcester,Massachusetts,01610,2048.0,NULL
101,for_sale,110000,4,4,0.35,1381032,Yabucoa,"Puerto Rico",00767,1400.0,NULL
101,for_sale,118000,3,1,0.06,1683660,"San Juan","Puerto Rico",00921,1260.0,NULL
101,for_sale,125000,2,1,0.02,957155,Carolina,"Puerto Rico",00985,860.0,NULL
101,for_sale,130000,3,4,0.09,560375,"Cabo Rojo","Puerto Rico",00623,2064.0,NULL
101,for_sale,295000,2,2,0.02,6036,Rincon,"Puerto Rico",00677,1183.0,NULL
101,for_sale,295000,2,2,0.02,629447,Rincon,"Puerto Rico",00677,1183.0,NULL
101,for_sale,420000,2,2,0.02,924302,Carolina,"Puerto Rico",00979,1190.0,NULL
101,for_sale,750000,4,4,0.23,731654,"San Juan","Puerto Rico",00926,6200.0,NULL
129,for_sale,479000,6,4,0.43,447340,"West Bridgewater",Massachusetts,02379,4152.0,NULL
276,for_sale,190000,2,2,0.01,1801458,Woonsocket,"Rhode Island",02895,968.0,2009-08-04
392,for_sale,4950000,5,6,0.87,483307,Ogunquit,Maine,03907,4906.0,2015-10-01
540,for_sale,385000,1,1,0.29,599698,"Saint John","Virgin Islands",00830,580.0,NULL
540,for_sale,675000,1,1,0.24,1670674,"Saint John","Virgin Islands",00830,1300.0,NULL
540,for_sale,1295000,3,4,0.28,329022,"Saint John","Virgin Islands",00830,1842.0,NULL
540,for_sale,1350000,2,3,0.56,1563509,"Saint John","Virgin Islands",00830,2040.0,NULL
540,for_sale,1890000,4,4,0.58,1236726,"Saint John","Virgin Islands",00830,4409.0,NULL
540,for_sale,2000000,2,3,0.5,923644,"Saint John","Virgin Islands",00830,2771.0,NULL
540,for_sale,2250000,3,3,1.03,296095,"Saint John","Virgin Islands",00830,4400.0,NULL
564,for_sale,900000,8,3,0.09,268766,Malden,Massachusetts,02148,2358.0,NULL
570,for_sale,49900,12,4,0.08,928208,"North Adams",Massachusetts,01247,4528.0,NULL
570,for_sale,179900,3,2,0.95,1830858,"North Adams",Massachusetts,01247,1200.0,2009-05-28
570,for_sale,599000,4,3,2.5,822801,Florida,Massachusetts,01247,2351.0,2012-03-19
580,for_sale,199000,2,1,0.23,985464,Warwick,"Rhode Island",02888,888.0,NULL
580,for_sale,325000,3,2,0.09,143515,Warwick,"Rhode Island",02889,2916.0,NULL
580,for_sale,374900,3,2,0.03,1470120,Cranston,"Rhode Island",02910,1428.0,2012-06-08
580,for_sale,474900,6,5,1.1,1154090,Warwick,"Rhode Island",02886,6208.0,NULL
580,for_sale,535000,3,2,0.3,334271,Warwick,"Rhode Island",02888,1848.0,NULL
